Date,Price,Open,High,Low,Vol.,Change %
2017-06-29,"2,558.4","2,577.7","2,605.9","2,526.5",75.32K,-0.75%
2017-06-30,"2,480.6","2,558.4","2,576.3","2,469.5",73.00K,-3.04%
2017-07-01,"2,424.6","2,480.6","2,529.6","2,387.5",66.32K,-2.26%
2017-07-02,"2,536.5","2,424.6","2,555.3","2,375.9",67.76K,4.61%
2017-07-03,"2,572.5","2,536.5","2,617.5","2,506.3",83.42K,1.42%
2017-07-04,"2,617.3","2,572.5","2,658.7","2,570.0",80.68K,1.74%
2017-07-05,"2,627.9","2,617.3","2,642.7","2,562.0",89.72K,0.40%
2017-07-06,"2,614.2","2,627.9","2,634.8","2,581.8",60.16K,-0.52%
2017-07-07,"2,513.9","2,614.2","2,617.5","2,484.7",90.45K,-3.84%
2017-07-08,"2,564.9","2,513.9","2,568.7","2,480.6",54.51K,2.03%
2017-07-09,"2,511.4","2,564.9","2,576.7","2,509.6",39.16K,-2.08%
2017-07-10,"2,344.0","2,511.4","2,530.3","2,271.8",123.80K,-6.67%
2017-07-11,"2,324.3","2,344.0","2,412.8","2,265.5",146.63K,-0.84%
2017-07-12,"2,403.1","2,324.3","2,424.8","2,262.1",109.52K,3.39%
2017-07-13,"2,362.4","2,403.1","2,436.7","2,335.0",88.17K,-1.69%
2017-07-14,"2,234.2","2,362.4","2,370.5","2,165.4",114.41K,-5.43%
2017-07-15,"1,975.1","2,234.2","2,237.1","1,974.0",155.32K,-11.60%
2017-07-16,"1,914.1","1,975.1","2,044.4","1,809.0",189.64K,-3.09%
2017-07-17,"2,233.4","1,914.1","2,233.8","1,913.8",176.89K,16.68%
2017-07-18,"2,320.2","2,233.4","2,400.7","2,164.6",202.62K,3.89%
2017-07-19,"2,282.6","2,320.2","2,412.4","2,243.1",154.32K,-1.62%
2017-07-20,"2,866.0","2,282.6","2,932.8","2,282.1",310.34K,25.56%
2017-07-21,"2,675.1","2,866.0","2,874.0","2,622.5",193.76K,-6.66%
2017-07-22,"2,836.5","2,675.1","2,876.7","2,658.6",121.92K,6.04%
2017-07-23,"2,756.6","2,836.5","2,856.7","2,675.6",108.23K,-2.82%
2017-07-24,"2,763.4","2,756.6","2,798.9","2,715.7",83.01K,0.25%
2017-07-25,"2,582.6","2,763.4","2,779.1","2,472.6",205.88K,-6.54%
2017-07-26,"2,559.2","2,582.6","2,631.7","2,441.5",135.50K,-0.90%
2017-07-27,"2,691.9","2,559.2","2,712.9","2,547.7",103.83K,5.18%
2017-07-28,"2,806.8","2,691.9","2,843.8","2,683.6",138.91K,4.27%
2017-07-29,"2,733.5","2,806.8","2,812.1","2,699.4",84.49K,-2.61%
2017-07-30,"2,766.5","2,733.5","2,773.1","2,621.7",82.72K,1.21%
2017-07-31,"2,883.3","2,766.5","2,916.3","2,723.1",91.12K,4.22%
2017-08-01,"2,747.0","2,883.3","2,946.0","2,659.6",123.17K,-4.73%
2017-08-02,"2,720.5","2,747.0","2,773.8","2,668.9",81.82K,-0.96%
2017-08-03,"2,810.0","2,720.5","2,822.9","2,717.6",68.10K,3.29%
2017-08-04,"2,878.5","2,810.0","2,892.7","2,779.5",68.76K,2.44%
2017-08-05,"3,262.8","2,878.5","3,344.0","2,875.9",159.40K,13.35%
2017-08-06,"3,232.0","3,262.8","3,295.1","3,166.5",60.66K,-0.94%
2017-08-07,"3,401.9","3,232.0","3,425.1","3,198.5",88.11K,5.26%
2017-08-08,"3,429.4","3,401.9","3,494.9","3,357.1",106.94K,0.81%
2017-08-09,"3,348.8","3,429.4","3,437.1","3,251.0",97.06K,-2.35%
2017-08-10,"3,425.7","3,348.8","3,453.8","3,322.9",71.00K,2.30%
2017-08-11,"3,654.4","3,425.7","3,706.5","3,409.8",97.56K,6.68%
2017-08-12,"3,871.6","3,654.4","3,967.3","3,611.4",123.59K,5.94%
2017-08-13,"4,062.6","3,871.6","4,189.4","3,847.3",158.59K,4.93%
2017-08-14,"4,327.9","4,062.6","4,336.7","3,978.9",128.46K,6.53%
2017-08-15,"4,161.7","4,327.9","4,436.5","3,837.1",211.58K,-3.84%
2017-08-16,"4,387.4","4,161.7","4,398.1","3,938.6",112.90K,5.42%
2017-08-17,"4,278.9","4,387.4","4,487.5","4,194.1",127.48K,-2.47%
2017-08-18,"4,105.4","4,278.9","4,362.7","3,978.3",144.40K,-4.06%
2017-08-19,"4,150.5","4,105.4","4,189.7","3,957.5",113.72K,1.10%
2017-08-20,"4,066.6","4,150.5","4,182.3","4,034.4",70.16K,-2.02%
2017-08-21,"4,005.1","4,066.6","4,097.3","3,966.9",90.65K,-1.51%
2017-08-22,"4,089.7","4,005.1","4,142.7","3,612.2",169.14K,2.11%
2017-08-23,"4,141.1","4,089.7","4,255.6","4,070.5",96.65K,1.26%
2017-08-24,"4,318.4","4,141.1","4,364.1","4,111.7",72.36K,4.28%
2017-08-25,"4,364.4","4,318.4","4,461.7","4,292.6",82.90K,1.07%
2017-08-26,"4,352.3","4,364.4","4,379.3","4,263.3",46.16K,-0.28%
2017-08-27,"4,345.8","4,352.3","4,408.2","4,321.1",42.52K,-0.15%
2017-08-28,"4,390.3","4,345.8","4,403.1","4,195.2",75.49K,1.03%
2017-08-29,"4,597.3","4,390.3","4,647.8","4,350.2",100.80K,4.71%
2017-08-30,"4,583.0","4,597.3","4,644.1","4,491.8",68.47K,-0.31%
2017-08-31,"4,735.1","4,583.0","4,765.1","4,580.1",72.29K,3.32%
2017-09-01,"4,921.9","4,735.1","4,925.2","4,690.2",102.01K,3.94%
2017-09-02,"4,573.8","4,921.9","4,976.5","4,448.6",160.77K,-7.07%
2017-09-03,"4,612.9","4,573.8","4,719.8","4,397.7",102.82K,0.86%
2017-09-04,"4,267.5","4,612.9","4,621.0","4,098.6",170.40K,-7.49%
2017-09-05,"4,409.1","4,267.5","4,496.7","4,004.6",158.41K,3.32%
2017-09-06,"4,618.7","4,409.1","4,660.0","4,401.5",110.93K,4.75%
2017-09-07,"4,635.6","4,618.7","4,690.5","4,493.2",70.53K,0.37%
2017-09-08,"4,326.5","4,635.6","4,699.6","4,130.9",180.36K,-6.67%
2017-09-09,"4,335.1","4,326.5","4,402.1","4,185.3",77.09K,0.20%
